Marca temporal,Carrera,Semestre que cursas actualmente,¿Cuál es la razón por la que te interesaría cursar alguna materia en el periodo intersemestral 2025-4?,¿Has cursado anteriormente un curso intersemestral?,Curso intersemestral que más te interesa cursar (OPCIÓN 1),"Segunda opción de curso intersemestral, si aplica (OPCIÓN 2)","Tercera opción de curso intersemestral, si aplica (OPCIÓN 3)",¿Qué dificultades has enfrentado (o crees que podrías enfrentar) al cursar una materia en intersemestral?,"Desde tu experiencia (o expectativas), ¿cómo valorarías la calidad académica de los cursos intersemestrales en comparación con los cursos regulares?",Justifica tu respuesta anterior,¿Qué condiciones crees que deberían garantizarse para que un curso intersemestral sea exitoso y justo para los estudiantes?,¿Te gustaría que se volviesen a impartir cursos intersemestrales de optativas del plan de estudios de Física y Física Biomédica?,"¿Consideras que debería cambiarse algo en la forma en que se organizan, asignan o anuncian los cursos intersemestrales? ¿Qué propondrías?",Algún comentario adicional sobre los intersemestrales,Token 
17/5/2025 12:32:40,Física,Segundo semestre ,Ponerme al corriente ,No,Fenómenos colectivos ,Geometría analítica II,Algebra lineal ,Los temas se vean demasiado rápido ,4,.,Un buen plan de estudio ,No lo sé,.,.,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""782681489b3f073a676eddb8b52ba137217e5105a9ee7bd785f2348b79cca6b0""}
-----BEGIN SIGNATURE-----
jeETBJ6Io2mzN7lLmj8uqkT0SE4dRpzEr54+MtkaQWmEIiegTwWGH1OY+YnC7+GTsLt+EtdYiZHddk1eusnxcoONXrQGvKvwjzkwbHdshuKQvDvkbsVNzktt9NAsSR8kROBPBm8Tgaj64o+vhcbg11JqD5uO6pf4yMrW5cj4gZSGCOjEfEMP/S1DRpd05K1q3dg26dvBRIxzlbJYxYu/frVG3iAOU2/JX0slwxpzAujLS5w2FUX9aw1gNNlvKWWSSDeqtS+7+xWBjULaop/Sfi0KqIhIZ6YVwBgPtmWtUsIPUCalLE0MCIRl5NBOYbi3lGdo1pTn3QyvPbfzJ4oyd+ArRE2UETUXFseplDMySwF8DKQJ5tMmWtwtXMdPxHIHZejZccuCUP1AKqnAHjkqCCm2HezJb9R7peRs/ckHl0cFLUoZuN07qHnKO4ISvQX3VlwAx86SbvaQHlRr3r8KPNhyvOMs9tm0vNBsSmMPFUdYwwI653ok28qYlKJZknBaGQ4OKv97Hj0SrvyOkzm7BAAkLzxk/hiQKGILunfD94E5wH83tLTQcpYthD3HwC96mDffqFinE5mek8xqPyJ65NZaWNFXpFxAJFB6XHwoOlBDaBVtat9bh+9u1ptaLlGFpHgiY7QYZ2fRatlxW9pmfqwq750j0oukX+S0p8X7zeg=
-----END SIGNATURE-----
###
"
17/5/2025 12:35:19,Física,8-9 semestre (Extemporánea),Por la alta demanda que tienen la materia durante el semestre normal,Sí,Laboratorio de física contemporánea II,Dinámica de medios deformables,,Tiempo limitado,4,Se pueden cubrir los mismos temas que en el semestre la única diferencia es que se debe trabajar más rápido,Buena organización y planeación del curso ,"Sí me gustaría, pero no los tomaría",Creo que debería de darse prioridad a los alumnos que mayor avance de créditos se tenga,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""4302327b4fa9d1bd112a42e0e5395b3a8d24647961575b979cc506de974e0998""}
-----BEGIN SIGNATURE-----
i1o3Ehk9ShUQNk+NeqxSt5mJ5AxmGP75DKU+c68W2NKiC5b1QWJS+axCNTC//VpnTKhVf4BW7Yl5SSe9e1HiVTlt075ESdig6Lxp9XvPyClmeylgonmOKVMoBiGZzCxyOqp8eLvQjHvVpub22uikpPrbM/z1ATtw9aS2/F9K/QOEdU7nJXbTlBFsmW56pQZmQer6Y2fhKaZ8rq4NrBcLNB7zWI6urG0eZyhWFS3F35iYQFKBQGue5HxOTNw83EPmvwelaIPs1d5a1jdAcM6wfncRUAO++721NY1UHsC6iRTJ0tLyhPXyB+wHP4KAfIGJmA5MTflEpDYuPpolY0/IIOS73P/vrll9bIVkYVFTKwKUgSAwe3WK7WmN/9ABU6hQbjjsr6zHKGjLfxMnJgp+UbfLKybDWELiOX9PXZo/0LrqWIHWCxhw/XHjQTcd7xOGzNYBleiyZAQeXl/D6bgP+RCM3nrq3hUDcBWuYfSH8RCcm7jfSKuEjNa8dM9jF6ZFcoe91w6l0GWfhLf8KsjgkyPw7m6VTkPoKu70tHaMIX44gRf4Q9YQueoSjrVFxUZS4xk3TbyY/NhIhKhuGVSO0fwlOmk/ZMO5yXhkM0sGEMdQiYWRv+OfFg1iyuQrSnjOcMaI8MmFYocxSHLdJhAfRlrgvCWp/5B1lkw8+OkHg3A=
-----END SIGNATURE-----
###
"
17/5/2025 12:36:46,Física,9,Es la única materia que me falta para acabar mis créditos ,No,Física computacional,,,Tal vez la carga de trabajo sea mayor.,4,"No hay pérdida de continuidad en el aprendizaje con la desventaja de que creo que es mayor la carga de trabajo,  mental y física. ",Ciertos momentos de descanso.,No lo sé,Hacer siempre encuestas para conocer los grupos de mayor interés. ,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""d154c7f26c77f3620cd635a5a342502592bcb225dfbe51cc870f36de77e543fe""}
-----BEGIN SIGNATURE-----
Q5XJ9H710QtIIBFuIbsaHaNdbqMdB06rSGfEEIOJsBxQKYemtRsHVgsfZy0OkkA2wDFZi3RRlWnox12ZgmflCefVfiMUBP9NjCuvbPMbSuB6F/R+8uEZ4kx1KjiSOG9Y849yUQPquUVlcCnqIeBOW4Gnqui30syuyrIqX8o8nNgnZnj1/3CQ7NChrn1K8GueKsYY7oPyJx891VhzaOeNgfDKrNOoHkviwrWvbFmDkzl3jNG6WEyFa15TaIo8nlxdfd+3i2wxWDkRYSidmtJj5PRFN4Z6248WPGLnk+BUYuDO6fThWdxm1Aq3jP9Sw3OS1m4OC1vtQau9kuzD+NangWLx/t/cBS8KeWKUaR066CIQ+RhAXyXbf0h8QPo8HQ3neW7f0psvuNOnElqnSXk6yhG9xIeEYHA9Otn5ZQ1/71rQZdYZZy0b8kGSJehCozEKJ9VAYmAQz1iKs4IjQxrGzREjeuPTOdDuQyXkSFsH/ZxJDGZOZBe9+38SzqFPQ8wdg/0K0WZddrDRoakRYLxP7w8UywX30pnRMvGKolS7hAZCtRHFjkycnxOYpfjdEvwtyyxNviwIqLWjsFYDDwfaKDKRc8rDM/2E8TPVTeaee56PT2d/w9IeFuRBZntsWgvhT5EG6ftbtQYr1Bountx+SU+WSmxyjpJpLTYyjbMDw8g=
-----END SIGNATURE-----
###
"
17/5/2025 12:37:38,Física,8,evitar atrasarme y mantener el ritmo en mis estudios pues es necesario para mi acabar en tiempo y forma,No,laboratorio de contempo 1,fenómenos colectivos ,electro 2,El horario ,4,creo que es una buena forma de concentrarse en una única materia en lugar de 4 o 5,que no haya paro,"Sí, me gustaría y los tomaría",no creo,no,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""88603dcd900234fe73b32c0504be67b3d4369aadbd44f7cca677ad359fa8ed0c""}
-----BEGIN SIGNATURE-----
JXftwMnxeUgs9lS16Y0jvpnMnPWccvBMLVehO1wpKu65tk62OQGHMo6TPw9lwLchoCvhC0i8vzO8OMGUMpj5AWFx7uZ63rNvmmxKSNwH4lFBb7V7/CTLqH1oZsG6mitvHZXtoK7qmgjUl/P4+kUDwpZO3uxAXoqCpsKTfq4WLOrYNLFZn3OOZgbl9t3KaxToUjT95fgi2xWwkNam5cLP4FxCdnNBm1DtAFIFCxSH9pvPYUA65PYiLgBrxeGDKKETeEXKSX1DLo4INmtM+FzR5OHritXooEfYUKFUFbc6ZonmIkjxnQ5H4yPPKqXVt7oHPA96WVHj4txePLYs6l8iSc83srQDSUVKk8uvUHzdDuebVOCPIXxJX3cHTNAtvuyWR0gwykGrzvnUm9+/voCd9woyWeNQyK/HR/G56MuULiPWBR2NhDEY/DbtcadRHHHfFFqagaQTIHX+1j059zSWLy7hluTN6WJnsKudZ3TvGB/nj5vSx8x06hMrgVxN9Kgx7FYTF6LTG/8NLjDpzRZNgJ0emR8dbIHPIYY/fPiwEW4X3NsVQ22U3tIZMoiREiFaIvLtoK02N/+SiZZSXSpfF2cd0lU4RTBbBt/Pwft+2GA4auzQfOrQ3F/vvLRjrzXQKyIs3Eai+D5SIvyqL7YaCUCu3EfhfFrjRvxsQHHxC10=
-----END SIGNATURE-----
###
"
17/5/2025 12:38:47,Física,08,Necesito finalizar mis créditos en este año,No,Laboratorio de física contemporánea I,Laboratorio de física contemporánea II,Electromagnetismo II,Que soy foránea y las vacaciones usualmente las utilizo para descansar y ver a mi familia. ,4,"Creo que un curso intersemestral permite enfocarse en únicamente una materia, permitiendo la concentración total en ella y, por lo tanto, un mejor rendimiento y aprendizaje. ",Que se acuerde el horario con ellos. ,"Sí, me gustaría y los tomaría",Pienso que deberían impartirse materias de todos los semestres y asignarse con prioridad a las personas que están en últimos semestres. ,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""b7366bff2c95144d1635aa83b6d09ad3b06499420a001d0c9e2c39e9cba0ff19""}
-----BEGIN SIGNATURE-----
GGEp5skRbkYu0ZAE6Tw0mccMlH51hyfQjy6b9lYGDeYP2Fj3Sc6rfyDiZ/bA7pAa0jIDWe08n30n8mLddaaXel7R9SvShVflQhEOBFBOhUbnI4Nd4IWsQEuevkZA6xsDzmVe/FEMhjKehOcujmYDoOqsgaSxxapBdrido9NdpmdLaIqsQwwzjWCnneOLohGqUvuHOzXWay4Gj+NI5VeAzYRVMm49HnNCSh6i8QXUSGd43VXqHgz1G2+8CnQiAR52Nwb9KeK3Og09q8id7n9Y6rWU4yRY40UZl3goMqjlX688YOHXvtMzZpgigzZbyzOgnc/JstQKPV9OApoc2HcyaLUbodIN8Ji0/naiuzxgbNvOOtCNpBMDomGb8vdfbzZydYVIBr5ZF6SB8ciF61IbMTUqvcMrt4yT6/4Ob4/yZ2kau3LJbg2qVrtV/4g/isy1tN1GfggPQymEYtUuX8LZij5XiT6WNU+/bPDO0hl4lQR8YiOZ+511ylgwlADdLzItZfQSfTrOx4Vcl8wN3VislcoN+pg9ZgIzZ/5e88e9w4nsjs18pyYGMhukH8/mgb/lJhowrwdmqiemcHEvqkJDaX60igioDSFOYV1nS5bHlBG6hIpKYFqDBkmVmfTkYYwls1jzbc90bt/PvDNlZL+93FY6nRl0WOA3+E6yHYhFjwk=
-----END SIGNATURE-----
###"
17/5/2025 12:39:53,Física,Noveno,Porque solo me hacen falta dos materias obligatorias,Sí,Laboratorio de Física contemporánea 1,Laboratorio de Física contemporánea 2,,Terminar el temario ,4,"La única desventaja es el tiempo para los temas, fuera de eso, uno puede enfocarse únicamente en una materia ",Un temario bien estructurado y un plan para evaluar concreto ,"Sí me gustaría, pero no los tomaría",,Resultan de mucha utilidad ,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""bbba771472a0ecc59a1d0a86c9b9d48183a600f011218a50332152224d42cd18""}
-----BEGIN SIGNATURE-----
U1Lmig4Er8fZ9GHgTvFXV2GTG8Rxnteadm1k0fIF8rZFnfjkRNa8JgeBOJPhdzJW8g9rDee6olCoWkZv8Jk6fg6dagGXLJhKO2NeQB+Og6WMAbj36/c1WX4fw6qsripQlcCcLq79Sa0Y5E75Gnrh+V9MxnItLderX3yBJRQtVoYmEZX8DOIY4oWKZLDEzK79bCO6Yn3RPcJsanaTTYVGDrpSci1T9nZSpuZKsXJoAVH8sL/WGQTiSV6DmPfgiSPfl03tU9tlLh5vKjWikMtiVFzk/XBjZOa9jbNlIKMjFv+r8UqGFLZPz3TRL6HK6VYDBevmCr17Gpdxmhb0GzQ1v17Ua9Ag/WjTJ/w7wTaIxPxSmAXjoJ/N4IYyc2rgrMupsNA9Or2oylFc9rd1s8d1BNOqrkhtoa4UiBUvS5Bu8qBLeVdgKAItnvSb1rmgHk8PnlUbsYyiunftQe+u6nEaa/957xd0HZ2bK0tnUXZULsDk9HcPPQEE4kHG9EWwGCqEajt2UNe8YiC3AISaIAjz1/v4bxQKuKHOawC0DclNaQ7vylqWqEIaD/fHcNouWz5xI+SIm8T5ZHptpnmrgewZXO4P2t8Pnb5KeP3yaRWpG+0hK1cdDAG3LkQEmQR4FekSvWt0/MHm9lY2Ubo7Q53rnT8EDkRTQD9JPe/9paABDx4=
-----END SIGNATURE-----
###
"
17/5/2025 12:39:59,Física,2,Promedio ,No,Mecánica vectorial ,Computación ,Laboratorio mecánica vectorial ,Horarios ,,,Buenos profesores ,No lo sé,,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""ab2474453ec92a7e859e55886650d0faf11647ea3aa5f7ba9bc96179a10214dc""}
-----BEGIN SIGNATURE-----
B97+SQk6M1o3WTk+I0+m24ViK/CRatVJZo397edRrWDzypzeV+RE82CPT8/IOMXA0ywzG0BjFQISXIjHurY/f2c4qkw8XCjj49KHDkwL/CJRW8qcRpmK8i5Mn18eCXVCstZKyymTjhB9LR2nfJBF1sWMu0z1fPNJ+T9Z1VElW+YYObL44kDf7BHY6DsfVavK+ccdVDaPLtuwF4onFKHG9crUqOmKMZVQ6G6nBNaEWAreGiF/EPXWMBZ+40rykGfkRPKMvLjJGX+8I9cqeFMNBqgSis83xVXbdjboLhTZYXNrj5YNyQS+o92zP9X/GQ717nU8PVA07VC64r3JS0DO2cR0UiznzrXRQYq0FA/IViUF1+Ef66OJMJqWiVHsECdcCZxWxCFy2oHUXmB3jLBeXKuypsoUuB/CLRQyYbDnV2oLoF8ETU9DUQ8OQaPTTWHkvAlm3EbHgMcSppB4V3KRpB3mdXisVGHuJ7CCVvPN/cTP0ESCdShptFVNB2b4XHmYy+jC+DEyQA2bpKSHZ2HpBCousr3i+JSVY9xg4rki8uQ5vXqYgRm+FZc1gD/r3QLgC/uVzL5SQZQiR3ht97iZOi1g1F0fmxTI8mZzQ2GRq0wzm6MKDYWEIqsmEApPdIoRf6dEBrVnS8/nilAJZYNZ/N6N5t9is8TzmacLzBNxFHA=
-----END SIGNATURE-----
###
"
17/5/2025 12:40:41,Física,8vo,Porque este semestre no conseguí grupo,No,Matemáticas Avanzadas de la Física,Física Computacional ,Laboratorio de Física Contemporánea ,Enfermarme o que haya un contratiempo que en mi camino a la universidad que no me permita llegar ,,,"Poder tocar todos los temas que el curso ofrece en tan poco tiempo, y que los cursos se pudieran tomar también en línea por los que trabajamos ","Sí, me gustaría y los tomaría",,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""8e9f685a4ce782c2e101c047b19172f9239fbaaf8932bfb17de7f3693f47ab57""}
-----BEGIN SIGNATURE-----
APGEfeVQidJwmiI+7QlaMiwsvugt4g/KZ1hCfGr1kcs+EGrPdk4un7SUERLFiWCjDoJUsWzZHPSYSjqJFepqa8Anok9s9qBvnYpLWPmBzkcndHqmpDoasgczinc6b2Ns1QmgcdWEs+ilqY8XlrGJzpO/CTDsJ8NHRzkj/JwWnYcnf9znprm1rK6CWn7CziAu7jKrQJ6uZu28na+gUH9DzVpW1d4fKFPBrOnxiG6aA/2RkcMkT/2OHEdcUhVx2r+cDigREEFfWu4DMenoPJXQnP0/vfUzWT+CEWnaJHu5vVBm6W3wZUR10TcjGrxY9DpyTyho67i2TQxjdYt97lxaa9mhu4V6bCMeYzqXRtVIt4KfFaJUMXjoWoTeKXC0mOH5c+0csabEprJvMAY/YG0jKJ5qlnIzI9fCA7Ugy8gFuRkLzJ1Sbo6dUQNxGEP/F2/2V1Ci/p/eD5xs+YMfvPbxvRVIJpXdn+PRbQdZ+BLgMz9izDyBZRj2E43fNPQlpllYIreHBZHkhrZIRUbHFXR17OfqZTDLizMb/DMCAdJ9jbQlignByU8yBVpyxAr8olFQ/t8HYXd8uSdoQyB6W6sl3t9rRnEzZ9ATJ0P033fe3rnXIfzlckLkvj4/5yqarVmr7yeATUt4OWgZBeWanuls+RGd6PtSh/KgewDLMW1l/aE=
-----END SIGNATURE-----
###
"
17/5/2025 12:41:18,Física,7,No atrasar materias,Sí,Relatividad ,Termodinámica ,Ninguna ,Son cursos pesados y demandantes de tiempo ,4,Una materia para seis semanas permite mayor enfoque para aprenderla.,Clases presenciales y evaluaciones diarias ,No lo sé,Nada.,ninguno ,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""d5ad5c11ec2f054dd3ccd753b7e13dc7d42acf043428d49fa15eff19c6dc1b65""}
-----BEGIN SIGNATURE-----
W/81DALsUJD/pNKiHEhkhpbDZE9qEM82Ci+sDKUxPa9Kr21J+2mI0BX0K8DThshdG+fdN2PImHkK97OWdNXNKWswU6YGZfz3ufjaHA8WSa3vjsnK3xfsmoQDbAQN659YJcWvAawHDEtoBnSl9orecysTg3mmNChuzTciyRkVdprH7otjUAA6fjR5lUvueAt9VvmEEDsFDnBTgMack/dAnXnYlpe8ej8HWQOAhzUyKMHyVO1IcxRT+8hT4C7nKwtpjXZJFW44w/fzdH6beesA8X2FGhIV1WTXdAhgZNi6kjdQzL0uodZnzMf4Bzn/GNslkjsazc35CJieKv+LKwkzE/N7MLneyDSntnxN5O+HvhMk/Q4825eT6oR5oD5BsVw9sr7KCJ3rRhVBKJl5fmC9UU2QzTHkVtroSKGquRlxY0T/5tySU5uQGT4BYvGGL0STJ5kg5vGexUcg1L+HJIhFTGwps2RGvxg6GFsMFh1dxtmqQUxePmiD6YGAtKPlRIFrrCA+zHgMwP1lumCFVDWopBjQEVnwHsuClyMYiOelPiaJZt1bcHAl0L5iUAsYj2uuiouN8rgIqhM4HfauG9YDkFwTlmxjAkmLAx0Mo3tlNiYTLwaFsD6KOcrJxEK010cc56Po2ALUeNajdmwaKxLQg+nx4DBPZ3Qh0IyqzeetC54=
-----END SIGNATURE-----
###
"
17/5/2025 12:41:42,Física Biomédica,Cuarto ,Aligerar la carga durante el siguiente semestre ,Sí,Inglés V (para física biomédica),Morfofuncional II,,,5,De los cursos anteriores los profesores siempre han sido organizados y por eso se logra ver todos los temas de manera adecuada ,,"Sí, me gustaría y los tomaría","Se les debe dar más difusión, igual deben compartir los tiempos de apertura y cierre de las inscripciones así como los links de inscripción ",,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""af6ea3910da50f86aea658538cef67f935f8f3034eefaeda2241db028305be8f""}
-----BEGIN SIGNATURE-----
gskzeZd0jRWxwm+jPbhXGt2SnO956qTS/GncFKVrKM/omI7NPbolHIuMAhBSkLpqeEYzkyRjJglaY6gskFt84qkqaSqWpK/57dtEmaLSkYVxRoUQO7Ub7SzpwltROJHsPJN+VOfMn6+5GhptxHZJCsXq23f7HSIQ7OHKAwT5EdBZgvrWkBfLWhksg98y6bnLiCY6WiEbmDbHcO0ZewV/Rny+lUjN6a6sXuCaPYdS52RAoMHhpMIXx5UxR4rNhAwdXujbgDQ7fqSs1/OMW9SQXCwaHNRGjI0Tw5L+uRuqC2KyV46+E6T6DQDaxSZ5pbQTcwtLNoHOSffDFsqevNmv6dUUl8XWZSrSVSFqbFe9FkQP0tsH2xvaTPrp5JtlKQmxrqayC3A4Pl2OEy2qzxkkqbXPRHtNgLrhdREKqtkC6k8oKukERoIEBRj0Ev1pkWQY4gNfeNyAbNFrVYz4m+xeP1gaDS4LHxRhcfJhwK4Xz7Oks0MnlmUnxM9IsQVMyU4NRe7Rfl9QPFiNdXqJpkKFA4kSP1rn6+g414SsnHxG5Epl2b7jj2G7jQA8BgNXOGSbXY1lKGpf/nrfB2PElgMbI9sqlgV2Zuc3nxHW+sIR/JZavX7QyXEVxPYAaFMGnNFqO/WIwvWXPcd41x1sdNplw287FHjAeG+oN2ZmgIlNHx4=
-----END SIGNATURE-----
###
"
17/5/2025 12:41:44,Física,8vo,Me gustaría pasar dos materias (este inter y el siguiente otra) para salir a lo mucho en un año ya que no puedo sostener más mi educación ,Sí,Laboratorio de Contemporánea ,Física atómica ,Electro 2,"La cantidad de horas a cursar y sobre todo el horario, me convendría un horario más tarde ya que en la mañana el tráfico es horrible ",5,Cuando curse el último (fenómenos colectivos) aprendí mucho más que en el curso regular ,Horario y carga de trabajo la idea es aprender no solo hacer tareas a lo loco ,"Sí, me gustaría y los tomaría",Que haya mayor ampliación de cursos y mayor diversidad de horarios ,Están buenos ,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""eacfb99bf0b47f2b852cd7ecf3f774bccca8f5f7e900037d8fdbcbe172d968d8""}
-----BEGIN SIGNATURE-----
TSn9WRt8j8dlfGi/FH89MD6wI3XjvbLpoPL3WzAYzsTj9jMGTa+EsoTXzuOylosUFrGIkfQ1j/9tjQKVdepHjKRqUCVl4CXVUGocvR2+yeQovbCIq/c1/c2RvtGbnWXLU5TVW2MzAyJdhvlzSjzHBkbA+yZeCbCNLD62c/5Jej3OkvDxLC0pZ0GNLp7eteOPvtrpNzFRwZo2+IgJLPdjT6GSiQXkZbsx7JL0gA1oXszwn/xDFmYvCM/hc6h10vXNDHdNZH0AmonYk1CkpCYD57yvZj20tPkbU1yJXnrTzk7v11H8a2iCDN0qFPRgAQxoAtXTlRemehnr95oprX9TBoMer9Epnx+lpIvXKB826p4jNTDnexSa1t2gVNw36xTZ8ocge+PXkuPFP5gBNyl1Hlc2mc9cz9yKncJDVeGZl4apoldY80jyf9OYssa7JaPSv5U/urordRtB7H8sjTNm5hZU1/QnSvJLMASWnm1OWFGMZ1wohbO6xmj3CO8vbRC7BQiq4qK809jWhSthqkfFeSqIF/JXfslNBbHcKV6C/xz3iUV03lUV9WnmLmiSbnUC00vp6BN/vC3iv+2OeJa5BSIrN4sHi1F3tdpPOGu7LaXdRgL2IS4pAjcOADniZCHy9PmwqsD2yFoOQnCtWgrYKG5Jvkwruzcm6UIG0fFySQA=
-----END SIGNATURE-----
###
"
17/5/2025 12:42:22,Física Biomédica,Segundo ,Llevar menos materias en el siguiente semestre.,No,Álgebra lineal 1,Fenómenos Colectivos,,Probablemente cansancio mental al estar mucho tiempo en una clase hablando sobre la misma materia.,5,"Pienso que la calidad será igual o mejor, ya que he escuchado que no se inscriben muchos a los intersemestrales y eso hace que los grupos sean pequeños y, por ende, la atención del profesor sea mayor para los presentes.",Un salón ventilado en donde no esté apretado el grupo y pupitres en buen estado.,"Sí, me gustaría y los tomaría","Podrían dar opciones de los cursos que pueden llegar a abrir conociendo qué profesores están dispuestos a dar clases y definir el número de alumnos, después armar una encuesta en donde se puedan inscribir los alumnos y conforme lo hagan se vaya llenando el grupo. También, se podría definir un mínimo de lugares para que no haya cursos en donde solo haya 1 o 2 estudiantes. ",,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""45aade8a89d7bf044d0c909cd0547359386e12ddac5eca2e49c8f71c811a4637""}
-----BEGIN SIGNATURE-----
aYfYUHKR0VOdK16HfSm2IUFs6E0058d89ld3h1GHCtCzIIONqVvhuNgS07k/evCT5W76X6sQBgu84jQdMBv/cN3igBOQ8C+odNJ/ZMHp3n0vBQ0SCfwKvGdNgwFl4ez99kAJyHi7i4G8q4vtr8CDeT59xhqsgbITeeiSNE3Jg8ec+92K2ftahQaqtG7YoG7qQnkjzuk8rWVvjC+A6RLBHnTVywTSpbLm3VqDZ98c1UNV36o8lxrKOJ88tMeQmi69AWaAlKztLttNfsbHu7MEuCjT5tw/BEOjPaOAyttlfT+ESVTBDKOiE0zowG6cSjFeM2wkoxasWMVKBQ+4UVoaI3lEpFGAb0Xlg6oRmcNpE/ltRmwsWYrqgRE+bcPra0B01Z+fLEshP3oQHXxN1k3GxyDi6fdr0g6x1qr7E/8TbKfZiU8ekTMAGm1cr3Dqvgaud71GRDIWFyn5JDR3035UjWE4Z6X3N7KxlzBCndBdurMUqHTUxZDvTKe4f3vx9KwykemecJMpkFwsh2MjwtO7w9aoRjjm3ab1qZbA1Xll67PWv4TZx1moJGy124Q0u14cWN4M4WL13NMghtLz0mJriNusCrw31FGEDwpbrrwn+Rc+dL6J3ndWOP9Ome23vmKChHp+YCY9XJ0ytHmzgPY5Q0lAzq5DxEyG/kf6p5VGsdo=
-----END SIGNATURE-----
###"
17/5/2025 12:43:13,Física Biomédica,4to ,Debo materias ,No,Fenómenos colectivos,Electromagnetismo ,Álgebra lineal ,Carga de trabajos ,4,"Considero que no son malos los cursos intersemetrales, pero si que tienen un mayor grado de dificultad por el tiempo que se tiene para ver todo el temario. ",Dar los temas puntuales y ejercicios de acuerdo al tema. Así como las tareas y los exámenes que se consideren necesarios sin verse sobrecargados.,"Sí, me gustaría y los tomaría","Que deberían de abrir más grupos, para que la mayoría de quienes los solicitamos si tengamos la oportunidad de cursarlos. ",Ninguno,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""6ddf02e0b8977ff12a3e4533e337f25f15de9d4b86314dc5fdeae51c4a340f03""}
-----BEGIN SIGNATURE-----
EYJ/0d57ZFEac+SkU/JP2jM4W2FRpo+QQsJAvbloU+W4jMnrg4teQ4IT/YJMn1LcFHHBtfEEll3pK47JIpfWdkWLgXYSDHPaBYgel4ozpbURK551FMJRk12FHLcCGyOYdrfUnLoMqeMvALZ9XF7cpSRN8BLhaeWpX/QGbNaTcepCSVqy3z1jng2MDNXybhQWNOUd5n1sPhscXdvZmuFE9Hkegrka1uE2lv5i9rxZHsv00TbDU5wpu13HVVWTpG9mmF1Gvlkais5/M8Ld69fO2Btl960aS1UFssWvrxxWO1nJi4+NneRcWRpvDmLioy9JZj6iequeiR+1a/L4SPDRAiqFWp8DcX0byzJrXQscAxorAiseVmoLIW8+j9N2muYuocf+NgfR9vDd6/AQZX+BIRegPKUn40etTQBzM2M11JpP8DGfxqDhNLGIynGX8P265qaeYuwQbgNa1jzzERmLEwdVP3IUnf3IcTVE93BLkUXwEDSZvrNYx9efs6WR9gZ65+k8BpCpIfv3bwLWHMBe4JTKvvCic4Xb297LIkQ/fyvaO2EcKmkENWGEiNxwMSBcPN4wgJigKmo3nV0aPCxOFHF625o+dtuq3xwqm2SZiC5wbIHoobcs8cCCaNS5NTFtsy3JYt0n6I1LNnR6PFkQ/GrO8/2TvvYIiwfgkR1Nigc=
-----END SIGNATURE-----
###
"
